eyesight,aggression,speed,strength,stamina,eyesight_bin,aggression_bin,speed_bin,strength_bin,stamina_bin
0.0,0.25,0.0,0.5,0.0,Low,Low,Low,Medium,Low
0.0,1.0,0.0,1.0,0.4,Low,High,Low,High,Medium
0.0,1.0,0.0,1.0,0.4,Low,High,Low,High,Medium
0.0,1.0,0.0,1.0,0.4,Low,High,Low,High,Medium
0.0,1.0,0.0,1.0,0.5,Low,High,Low,High,Medium
0.0,0.75,0.0,1.0,0.5,Low,High,Low,High,Medium
0.0,0.75,0.0,0.0,0.0,Low,High,Low,Low,Low
0.0,0.5,0.0,0.0,0.6,Low,Medium,Low,Low,Medium
0.0,0.25,0.0,0.5,0.6,Low,Low,Low,Medium,Medium
0.0,0.5,0.0,0.5,0.4,Low,Medium,Low,Medium,Medium
0.0,0.25,0.0,1.0,0.0,Low,Low,Low,High,Low
0.0,0.5,0.0,0.5,0.4,Low,Medium,Low,Medium,Medium
0.0,0.5,0.0,0.5,0.4,Low,Medium,Low,Medium,Medium
0.0,0.5,0.0,0.5,0.4,Low,Medium,Low,Medium,Medium
0.0,0.25,0.0,1.0,0.1,Low,Low,Low,High,Low
0.0,1.0,0.0,1.0,0.4,Low,High,Low,High,Medium
0.0,0.75,0.0,1.0,0.5,Low,High,Low,High,Medium
0.0,0.75,0.0,0.5,0.1,Low,High,Low,Medium,Low
0.0,0.75,0.0,1.0,0.5,Low,High,Low,High,Medium
0.0,0.25,0.0,0.0,0.0,Low,Low,Low,Low,Low
0.0,0.25,0.0,0.5,0.1,Low,Low,Low,Medium,Low
0.0,0.5,0.0,1.0,0.3,Low,Medium,Low,High,Low
0.0,0.25,0.0,0.0,0.0,Low,Low,Low,Low,Low
0.0,0.25,0.0,1.0,0.2,Low,Low,Low,High,Low
0.0,0.5,0.0,0.5,0.1,Low,Medium,Low,Medium,Low
0.0,0.75,0.0,0.5,0.1,Low,High,Low,Medium,Low
0.0,0.75,0.0,0.5,0.2,Low,High,Low,Medium,Low
0.0,0.5,0.0,0.0,0.5,Low,Medium,Low,Low,Medium
0.0,0.0,0.0,1.0,0.3,Low,Low,Low,High,Low
0.0,0.75,0.0,0.0,0.0,Low,High,Low,Low,Low
0.0,0.0,0.0,1.0,0.3,Low,Low,Low,High,Low
0.0,0.5,0.0,0.0,0.5,Low,Medium,Low,Low,Medium
0.0,0.25,0.0,0.5,0.1,Low,Low,Low,Medium,Low
0.0,0.25,0.0,0.5,0.1,Low,Low,Low,Medium,Low
0.0,0.0,0.0,0.0,0.4,Low,Low,Low,Low,Medium
0.0,0.0,0.0,1.0,0.4,Low,Low,Low,High,Medium
0.8571428571428571,0.5,0.6666666666666666,1.0,0.9,High,Medium,High,High,High
0.8571428571428571,0.5,1.0,1.0,0.9,High,Medium,High,High,High
0.8571428571428571,0.5,0.6666666666666666,1.0,0.9,High,Medium,High,High,High
0.8571428571428571,0.5,0.6666666666666666,1.0,0.9,High,Medium,High,High,High
1.0,0.5,0.6666666666666666,1.0,1.0,High,Medium,High,High,High
0.0,1.0,0.0,0.0,0.3,Low,High,Low,Low,Low
0.0,0.0,0.0,0.0,0.4,Low,Low,Low,Low,Medium
0.0,0.0,0.0,1.0,0.4,Low,Low,Low,High,Medium
0.0,0.25,0.0,1.0,0.5,Low,Low,Low,High,Medium
0.0,1.0,0.0,0.0,0.3,Low,High,Low,Low,Low
0.0,1.0,0.0,0.0,0.3,Low,High,Low,Low,Low
0.0,0.25,0.0,0.5,0.6,Low,Low,Low,Medium,Medium
0.0,0.0,0.0,0.5,0.1,Low,Low,Low,Medium,Low
0.0,0.0,0.0,0.5,0.3,Low,Low,Low,Medium,Low
0.8571428571428571,1.0,0.3333333333333333,0.5,0.5,High,High,Medium,Medium,Medium
0.8571428571428571,1.0,0.3333333333333333,0.5,0.5,High,High,Medium,Medium,Medium
0.0,1.0,0.0,1.0,0.2,Low,High,Low,High,Low
